name,dastgah,instrument,zero_corssing,spectral_centroid_mean,spectral_centroid_var,spectral_rolloff_mean,spectral_rolloff_var,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,chroma_1_var,chroma_2_var,chroma_3_var,chroma_4_var,chroma_5_var,chroma_6_var,chroma_7_var,chroma_8_var,chroma_9_var,chroma_10_var,chroma_11_var,chroma_12_var,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_14_mean,mfcc_15_mean,mfcc_16_mean,mfcc_17_mean,mfcc_18_mean,mfcc_19_mean,mfcc_20_mean,mfcc_1_var,mfcc_2_var,mfcc_3_var,mfcc_4_var,mfcc_5_var,mfcc_6_var,mfcc_7_var,mfcc_8_var,mfcc_9_var,mfcc_10_var,mfcc_11_var,mfcc_12_var,mfcc_13_var,mfcc_14_var,mfcc_15_var,mfcc_16_var,mfcc_17_var,mfcc_18_var,mfcc_19_var,mfcc_20_var
ney-mahoor-ebrahimi .mp3,D_2,I_4,65545,1938.040517,303472.4474,2815.16631,1754411.961,0.515209734,0.158006743,0.112866051,0.130406052,0.168482289,0.099629231,0.080657072,0.178040773,0.073992588,0.157313928,0.156106368,0.33097592,0.197155207,0.041175224,0.066281229,0.063584581,0.103183903,0.051799603,0.024205534,0.105463155,0.019437637,0.090785138,0.055486839,0.138821706,-375.4333496,43.63507843,-52.7615242,2.371715784,-30.26748657,-13.24579716,24.74695015,13.9354248,-0.058506262,1.004036784,-19.46074295,-1.670260072,1.907125711,0.011590822,-11.64234257,-4.283699036,-7.997858047,-6.069901943,-4.433954716,12.47619247,11894.37598,812.833374,1771.014893,180.4116211,489.192688,297.650238,516.3348389,345.109314,156.1209412,213.5835114,482.6199646,274.5303345,257.2603149,200.7931671,177.0084839,89.30453491,49.15968323,83.41225433,154.6575012,417.0604248
Mohammad_Shojaei_nei_Mahoor.mp3,D_2,I_4,59788,1956.981873,774951.2677,2971.032035,2082504.272,0.209721953,0.335277796,0.148693338,0.233034536,0.168790579,0.215295821,0.11056412,0.102912076,0.220443487,0.097651057,0.142551243,0.121678472,0.106389306,0.186145321,0.048907977,0.14126724,0.063428894,0.12613003,0.053288382,0.037969138,0.14154613,0.039136305,0.089315891,0.056543827,-429.5918274,43.63196564,-33.56570435,-0.820739567,-35.10390854,-11.13630867,2.953134775,2.450183153,-2.212204695,5.923588276,-2.195447683,11.45563889,-0.314818949,-1.825422406,-2.690146208,4.663465023,-5.449343681,-4.572780132,-4.084957123,4.347010612,9005.928711,1249.904907,727.6517944,324.3668213,694.1972046,476.4633179,771.4555054,651.0548706,378.4417725,418.0237122,435.3381958,289.9415588,337.2192688,266.5074158,256.1313171,153.3902893,90.07325745,120.3547287,206.0310059,267.0150146
Arash_Samimi_nei_Mahoor.mp3,D_2,I_4,85072,2735.525193,575671.7929,4268.615855,2663909.359,0.105867229,0.108525798,0.052493814,0.08429686,0.066050589,0.059400126,0.130034506,0.04410141,0.236456484,0.182158127,0.352245033,0.39726752,0.020038817,0.074364953,0.014622002,0.044460416,0.03429798,0.012731605,0.08628583,0.005848895,0.148674905,0.051588774,0.158796087,0.185635671,-276.2190552,-11.50140381,-72.33760071,-5.816372395,-54.52193832,-9.148807526,5.710112095,8.580280304,-1.174543023,0.356940776,-17.56694984,-14.08263302,-10.31046677,-1.509515285,-2.551329136,-4.694065571,-5.839814663,-2.599251747,-13.39994049,-2.0452075,14868.27441,986.8126831,1121.088989,134.085434,539.4829712,217.6686859,316.9440308,146.1565704,181.9511108,258.3825073,299.5267944,226.7059479,163.451355,140.6646729,104.6586304,72.04808807,53.39722824,83.0855484,190.6684875,331.6265259
19 sarebaang mahoor.mp3,D_2,I_4,89980,2629.389833,406198.9319,4071.233715,1005496.467,0.153988153,0.098156996,0.071688436,0.058510121,0.079078265,0.107861027,0.105515838,0.480404139,0.28100884,0.360168636,0.238224745,0.143340632,0.076119341,0.032444928,0.018568637,0.014613356,0.016106149,0.065613516,0.017536331,0.221435353,0.058902632,0.175347537,0.127238289,0.045484159,-273.053833,17.43593025,-44.45500565,28.66384125,-48.00178528,-10.01512241,6.19424963,15.14471912,35.02401733,23.09752846,-10.88712406,-7.40243578,-24.84811401,-4.773077488,12.76219463,5.390820503,-2.778362513,11.45219421,-5.675397873,-10.43487072,6942.319824,1469.693481,883.4816284,133.3673401,417.6365051,162.0200043,205.5999603,189.3428345,262.7902832,244.410553,305.9786377,154.5106964,281.7939758,348.8726501,156.0624542,85.47051239,45.90456772,120.3638,370.0778198,306.1808777
Amjadian.mp3,D_2,I_4,58134,1659.262559,332341.1003,2789.041468,849674.6283,0.077794999,0.036008567,0.105252691,0.097276919,0.411006004,0.722944379,0.213884518,0.231836751,0.083746329,0.06883879,0.037946839,0.058052547,0.022653498,0.004326564,0.059390515,0.0308867,0.094530255,0.163296327,0.024156433,0.132186443,0.026132807,0.029109184,0.006448747,0.014739947,-332.6037292,81.08352661,-91.23116302,23.87049484,-24.31411171,-29.96810913,5.914411545,-8.419056892,-24.77945137,-8.371443748,-11.0023632,-17.43775368,-4.018981934,-21.391222,-22.68185234,-11.68680477,0.64134115,14.02639771,23.73630714,40.90536118,10617.86426,778.6481934,2012.609741,432.6112061,348.3826294,183.5617218,110.9212189,129.9691315,97.82655334,82.93006134,81.76485443,106.1461411,103.0817795,85.25254822,90.8312912,150.2011108,332.4176331,299.8587952,177.1978455,186.1124878
rasoul_akbari_arragh.mp3,D_2,I_4,70296,2017.723458,191566.1146,3017.206755,459269.4065,0.085333824,0.11758706,0.126367152,0.17468071,0.410791546,0.1867318,0.405821204,0.238690406,0.204777911,0.208695218,0.083762668,0.115201011,0.037702955,0.05163455,0.082917869,0.076070815,0.205950096,0.049922295,0.192103073,0.073823392,0.08349105,0.12837626,0.026321659,0.037557509,-236.6491852,46.6088562,-49.5361824,17.64246559,-10.89211369,-29.13977814,8.890014648,18.83068275,3.911927938,16.88612747,18.65517998,8.755407333,-2.209676266,-8.345963478,-4.194854736,1.699011087,-1.574258208,3.296633244,2.138235331,4.461455345,8782.193359,413.3818359,1190.883423,380.2274475,532.8721924,405.8450012,76.62548065,172.9386444,149.3538666,85.7299118,173.4672089,148.6857605,313.5374756,211.1301727,163.0681152,47.65387344,46.55234528,84.75320435,126.2981339,222.3349915
15084420252377mp3-72-8_new.mp3,D_2,I_4,28601,1536.018652,61454.29666,2764.649949,272748.8092,0.192518398,0.306760669,0.193179488,0.264816403,0.204410747,0.157687843,0.260180712,0.301769108,0.287893862,0.240376398,0.251242638,0.347539932,0.024969187,0.148649275,0.045313828,0.10932944,0.070614539,0.041013639,0.119992375,0.193634689,0.16868794,0.107909687,0.070694923,0.160386324,-347.9152222,88.45523071,-30.69457436,25.35652733,-3.867892742,-0.810495079,12.33462238,10.86371422,-0.772882342,3.290174007,3.689495564,5.142494202,6.675740242,11.79659653,-0.670718551,-1.762569785,2.022956133,-8.813673973,0.593660891,4.497181416,15589.37109,1069.851563,1865.980225,139.9298096,450.071106,272.8152466,535.2910156,543.8010864,298.1681824,227.3608093,233.0667267,152.2966614,314.4890442,170.8361969,182.9495392,84.23838043,71.03718567,154.1641388,140.4158936,134.6002502
Y2Mate.is - تکنوازی نی امین رحیمی ،بداهه در دستگاه ماهور-_-ZZ7LGL6hI-160k-1655953757264.mp3,D_2,I_4,66777,2391.062571,321418.5304,3509.703777,1540210.508,0.545895875,0.106682487,0.053445455,0.022247748,0.022810353,0.021995852,0.060702674,0.174642131,0.072006084,0.25501895,0.146970004,0.365552068,0.190294668,0.019212855,0.033083495,0.007584978,0.008395773,0.009955673,0.018076403,0.118493021,0.017275004,0.160678491,0.037712842,0.137851283,-397.6744995,8.326295853,-60.54708099,-3.774419308,-34.5117836,-7.195625305,28.76288033,24.8656826,21.58430481,2.854771852,-29.61462021,-4.655412674,7.117610931,12.95306778,-0.79680723,6.78792429,-5.417455673,-0.328306645,-3.167446136,19.56599045,8529.870117,1377.328125,1017.187012,158.9327545,311.9659729,120.8279037,268.4162903,132.7751007,174.7894135,195.0458832,295.1322021,268.8527832,187.9451599,179.484375,163.6535034,45.21210098,51.21302795,69.93473053,218.3396454,629.7407837
Hassan_Kassaie-Mahour_new_new_new-(WWW (mp3cut.net).mp3,D_2,I_4,57391,1932.188073,386736.9332,2957.915447,654390.1099,0.348818898,0.270251781,0.712943494,0.314115018,0.165417567,0.135412738,0.11902862,0.120915182,0.122974008,0.139533371,0.139916107,0.233992815,0.173147157,0.064468995,0.176928818,0.091632858,0.080247223,0.06418132,0.05004489,0.052789729,0.053767089,0.058217146,0.06164794,0.090519257,-370.7975464,64.96366119,-16.25609016,-1.028850555,-7.977026463,2.144264698,10.36093712,5.415503025,-10.33269119,-5.32315731,-5.980066299,7.368466377,16.31321335,7.126478672,-7.40455246,-6.860525608,-10.5046196,-4.141188145,1.195002437,-3.812248945,6349.915039,447.2696838,1144.621826,237.2070923,320.2666016,200.7770844,185.0823364,383.5345764,172.2566681,120.983017,156.9438324,229.1041718,223.6914215,183.4016266,101.2729568,114.8644333,98.00973511,123.6585693,194.0401611,223.3030396
Hassan_Kassaie-Mahour_new_new_new-(WWW (mp3cut.net) (1).mp3,D_2,I_4,64250,2123.102098,220227.1421,3170.522495,532914.1575,0.523228586,0.240103185,0.223150656,0.219532594,0.163047761,0.147488192,0.154298246,0.271194637,0.281223357,0.217049569,0.189156234,0.349538654,0.191198066,0.077067263,0.115840428,0.113988265,0.078054868,0.071177818,0.064111806,0.140513092,0.121881254,0.100613654,0.067082316,0.129968733,-358.1013794,61.27323914,-22.58024979,-7.257106304,-13.63656139,-2.05883193,18.45105362,20.70869446,1.039894581,1.082349658,-13.53006649,-8.599107742,3.343365192,4.144154072,-2.747730494,0.395969033,-5.210951328,-4.751144409,-3.233970881,6.650109291,7023.105469,389.0996399,1336.221191,273.3382874,326.9238586,227.8040314,180.3189087,221.180191,221.5384827,261.104248,255.7595367,141.9170532,275.2714233,243.795517,125.4668655,41.75117874,61.27138138,162.0539093,337.0458679,258.0361328
